Network,Mobile OS,Mobile Device Type,Device,Device Group,VOD Episode,Linear Stream,Unique Viewers,Total Streaming
NBC Entertainment,Android,Other,Android Other,Mobile App,165,11,23,176
NBC Entertainment,Android,Set-top Box,Android Other,Mobile App,1381,76,182,1457
NBC Entertainment,Android,Media Player,Android Other,Mobile App, -   , -   ,0, -   
E!,Unknown,Other,Roku,Connected Device,172500, -   ,29093,172500
E!,Unknown,Other,Apple TV,Connected Device,134792, -   ,20316,134792
E!,Unknown,Other,Chromecast,Connected Device,84259,3917,8572,88176
USA,Unknown,Other,Apple TV,Connected Device,358174, -   ,61182,358174
USA,Unknown,Other,Roku,Connected Device,283567, -   ,54938,283567
USA,Unknown,Other,Chromecast,Connected Device,147146,18907,19045,166053
USA,Unknown,Other,Xbox One,Connected Device,21069, -   ,5031,21069
Bravo,Unknown,Other,Roku,Connected Device,722305, -   ,96139,722305
Bravo,Unknown,Other,Apple TV,Connected Device,566393, -   ,52321,566393
Bravo,Unknown,Other,Chromecast,Connected Device,391414,29821,27485,421235
Bravo,Unknown,Other,Xbox One,Connected Device,15029, -   ,2075,15029
Telemundo,Unknown,Other,Roku,Connected Device,261721, -   ,30635,261721
Telemundo,Unknown,Other,Chromecast,Connected Device,88536,2,5562,88538
Telemundo,Unknown,Other,Apple TV,Connected Device,63880, -   ,4473,63880
Telemundo,Unknown,Other,Xbox One,Connected Device,16308, -   ,1511,16308
Syfy,Unknown,Other,Roku,Connected Device,209906, -   ,42079,209906
Syfy,Unknown,Other,Apple TV,Connected Device,134109, -   ,21614,134109
Syfy,Unknown,Other,Chromecast,Connected Device,81345,2628,8402,83973
Syfy,Unknown,Other,Xbox One,Connected Device,57980, -   ,8395,57980
NBC Entertainment,Unknown,Other,Apple TV,Connected Device,1190524,113,205891,1190637
NBC Entertainment,Unknown,Other,Roku,Connected Device,1389583, -   ,280927,1389583
NBC Entertainment,Unknown,Other,Fire TV,Connected Device,842508,10,108267,842518
NBC Entertainment,Unknown,Other,Chromecast,Connected Device,497657,17254,50647,514911
NBC Entertainment,Unknown,Other,Samsung TV,Connected Device,120852, -   ,23244,120852
NBC Entertainment,Unknown,Other,Xbox One,Connected Device,70154, -   ,12635,70154
NBC Entertainment,Unknown,Other,Xbox 360,Connected Device,24067, -   ,3534,24067
CNBC,Unknown,Other,Roku,Connected Device,32521, -   ,7058,32521
CNBC,Unknown,Other,Chromecast,Connected Device,1057,1772,575,2829
Oxygen,Unknown,Other,Chromecast,Connected Device,8134,2783,1364,10917
MSNBC,Unknown,Other,Chromecast,Connected Device,14327,36542,4189,50869
NBC Universo,Unknown,Other,Chromecast,Connected Device,5232,175,432,5407
Sprout,Unknown,Other,Chromecast,Connected Device,3433,1526,916,4959
Esquire,Unknown,Other,Chromecast,Connected Device, -   , -   ,0, -   
NBC Entertainment,Unknown,Other,Desktop,Desktop,3420629,121637,894016,3542266
Bravo,Unknown,Other,Desktop,Desktop,953353,28451,189981,981804
E!,Unknown,Other,Desktop,Desktop,175343,4993,34845,180336
Syfy,Unknown,Other,Desktop,Desktop,232366,7432,62499,239798
USA,Unknown,Other,Desktop,Desktop,366502,33172,125603,399674
MSNBC,Unknown,Other,Desktop,Desktop,132999,747622,119158,880621
Oxygen,Unknown,Other,Desktop,Desktop,10630,1113,3984,11743
NBC News,Unknown,Other,Desktop,Desktop,20661, -   ,11390,20661
CNBC,Unknown,Other,Desktop,Desktop,58255,209966,46522,268221
Telemundo,Unknown,Other,Desktop,Desktop,28109, -   ,3934,28109
NBC Universo,Unknown,Other,Desktop,Desktop,5551,124,981,5675
Esquire,Unknown,Other,Desktop,Desktop,2, -   ,1,2
NBC Sports,Unknown,Other,Desktop,Desktop,71,110185,33406,110256
Golf Channel,Unknown,Other,Desktop,Desktop,5,56060,21929,56065
CNBC,Unknown,Other,Apple TV,Connected Device,65828,117394,28172,183222
NBC Entertainment,GA Custom,GA Custom,Fire TV,Connected Device,45835, -   ,38617,45835
USA,GA Custom,GA Custom,Fire TV,Connected Device,165906, -   ,137877,165906
Bravo,GA Custom,GA Custom,Fire TV,Connected Device,406503, -   ,341514,406503
E!,GA Custom,GA Custom,Fire TV,Connected Device,80220, -   ,68619,80220
Syfy,GA Custom,GA Custom,Fire TV,Connected Device,133635, -   ,108150,133635
Telemundo,GA Custom,GA Custom,Fire TV,Connected Device,121712, -   ,104046,121712
Golf Channel,iOS,Mobile Phone,iPhone,Mobile App,8130,485071,86352,493201
Golf Channel,iOS,Tablet,iPad,Mobile App,6912,198801,40007,205713
Golf Channel,iOS,Media Player,iPod,Mobile App,17,732,129,749
Golf Channel,Android,Mobile Phone,Android Phone,Mobile App,1827,77089,14106,78916
Golf Channel,Android,Tablet,Android Tablet,Mobile App,580,19318,3754,19898
NBC Sports,Unknown,Apple TV,Apple TV,Connected Device,342,1023,646,1365
NBC Sports,Unknown,Roku,Roku,Connected Device,1712,2699,2005,4411
NBC Sports,Unknown,Fire TV,Fire TV,Connected Device,822,1315,1050,2137
NBC Sports,iOS,Mobile Phone,iPhone,Mobile App,5737,107011,42239,112748
NBC Sports,iOS,Tablet,iPad,Mobile App,1188,7728,3582,8916
NBC Sports,iOS,Media Player,iPod,Mobile App,50,156,85,206
NBC Sports,Android,Mobile Phone,Android Phone,Mobile App,3277,138558,32713,141835
NBC Sports,Android,Tablet,Android Tablet,Mobile App,825,1332,1058,2157
