Network Group Var,Network,Mobile OS,Mobile Device Type,Device,Device Group,VOD Episode,Linear Stream,Unique Viewers,Total Streaming,,,,,
Network Group (13. Network),Sprout,iOS,Mobile Phone,iPhone,Mobile App," 62,971 "," 3,860 ","6,151"," 66,831 ",,,,,
Network Group (13. Network),Sprout,iOS,Media Player,iPod,Mobile App," 2,001 ", -   ,161," 2,001 ",,,,,
Network Group (13. Network),Sprout,Android,Tablet,Android Tablet,Mobile App," 60,582 "," 2,937 ","4,788"," 63,519 ",,,,,
Network Group (13. Network),Sprout,Android,Mobile Phone,Android Phone,Mobile App," 27,740 "," 2,999 ","3,257"," 30,739 ",,,,,
Network Group (13. Network),Sprout,Unknown,Other,Unknown Mobile,Mobile App," 1,928 "," 1,040 ",217," 2,968 ",,,,,
Network Group (13. Network),Oxygen,iOS,Mobile Phone,iPhone,Mobile App," 24,084 "," 13,234 ","5,878"," 37,318 ",,,,,
Network Group (13. Network),Oxygen,iOS,Tablet,iPad,Mobile App," 14,729 "," 8,836 ","3,621"," 23,565 ",,,,,
Network Group (13. Network),Oxygen,iOS,Media Player,iPod,Mobile App, 117 , -   ,40, 117 ,,,,,
Network Group (13. Network),Oxygen,Android,Mobile Phone,Android Phone,Mobile App," 7,290 "," 5,355 ","1,870"," 12,645 ",,,,,
Network Group (13. Network),Oxygen,Android,Tablet,Android Tablet,Mobile App," 2,717 "," 2,307 ",736," 5,024 ",,,,,
Network Group (13. Network),Oxygen,Android,Other,Unknown Mobile,Mobile App, 128 , 155 ,54, 283 ,,,,,
Network Group (13. Network),CNBC,iOS,Mobile Phone,iPhone,Mobile App," 26,059 "," 281,092 ","18,563"," 307,151 ",,,,,
Network Group (13. Network),CNBC,iOS,Tablet,iPad,Mobile App," 19,181 "," 295,488 ","14,327"," 314,669 ",,,,,
Network Group (13. Network),CNBC,iOS,Media Player,iPod,Mobile App, 25 , 21 ,21, 46 ,,,,,
Network Group (13. Network),CNBC,Windows,Mobile Phone,Windows Phone,Mobile App, 50 , -   ,9, 50 ,,,,,
